Gender,Event M/W,Location,Year,Medal,Name,Nationality,Result,Event,Time_Cleaned,MixMatch
M,110M Hurdles Men,Montreal,1976,G,Guy DRUT,FRA,13.3,110M/100M Hurdles,13.3,MMontreal1976G110M/100M Hurdles
M,110M Hurdles Men,Montreal,1976,S,Alejandro CASAÃAS,CUB,13.33,110M/100M Hurdles,13.33,MMontreal1976S110M/100M Hurdles
M,110M Hurdles Men,Montreal,1976,B,Willie DAVENPORT,USA,13.38,110M/100M Hurdles,13.38,MMontreal1976B110M/100M Hurdles
M,110M Hurdles Men,Mexico,1968,G,Willie DAVENPORT,USA,13.3,110M/100M Hurdles,13.3,MMexico1968G110M/100M Hurdles
M,110M Hurdles Men,Mexico,1968,S,Ervin HALL,USA,13.4,110M/100M Hurdles,13.4,MMexico1968S110M/100M Hurdles
M,110M Hurdles Men,Mexico,1968,B,Eddy OTTOZ,ITA,13.4,110M/100M Hurdles,13.4,MMexico1968B110M/100M Hurdles
M,110M Hurdles Men,Rome,1960,G,Lee CALHOUN,USA,13.8,110M/100M Hurdles,13.8,MRome1960G110M/100M Hurdles
M,110M Hurdles Men,Rome,1960,S,Willie MAY,USA,13.8,110M/100M Hurdles,13.8,MRome1960S110M/100M Hurdles
M,110M Hurdles Men,Rome,1960,B,Hayes JONES,USA,14,110M/100M Hurdles,14,MRome1960B110M/100M Hurdles
M,110M Hurdles Men,Helsinki,1952,G,Harrison DILLARD,USA,13.7,110M/100M Hurdles,13.7,MHelsinki1952G110M/100M Hurdles
M,110M Hurdles Men,Helsinki,1952,S,Jack DAVIS,USA,13.7,110M/100M Hurdles,13.7,MHelsinki1952S110M/100M Hurdles
M,110M Hurdles Men,Helsinki,1952,B,Arthur BARNARD,USA,14.1,110M/100M Hurdles,14.1,MHelsinki1952B110M/100M Hurdles
M,110M Hurdles Men,Berlin,1936,G,Forrest TOWNS,USA,14.2,110M/100M Hurdles,14.2,MBerlin1936G110M/100M Hurdles
M,110M Hurdles Men,Berlin,1936,S,Donald FINLAY,GBR,14.4,110M/100M Hurdles,14.4,MBerlin1936S110M/100M Hurdles
M,110M Hurdles Men,Berlin,1936,B,Fritz POLLARD,USA,14.4,110M/100M Hurdles,14.4,MBerlin1936B110M/100M Hurdles
M,110M Hurdles Men,Amsterdam,1928,G,Sidney ATKINSON,RSA,14.8,110M/100M Hurdles,14.8,MAmsterdam1928G110M/100M Hurdles
M,110M Hurdles Men,Amsterdam,1928,S,Steve ANDERSON,USA,14.8,110M/100M Hurdles,14.8,MAmsterdam1928S110M/100M Hurdles
M,110M Hurdles Men,Amsterdam,1928,B,John COLLIER,USA,14.9,110M/100M Hurdles,14.9,MAmsterdam1928B110M/100M Hurdles
M,110M Hurdles Men,Antwerp,1920,G,Earl THOMSON,CAN,14.8,110M/100M Hurdles,14.8,MAntwerp1920G110M/100M Hurdles
M,110M Hurdles Men,Antwerp,1920,S,Harold BARRON,USA,15.1,110M/100M Hurdles,15.1,MAntwerp1920S110M/100M Hurdles
